,pos,word_en,word_sp,positive,new_negetive ,objective,index,synset,meaning,negative
71,a,सहायक,,0.375,0.0,0.625,0,2355248,"aiding and abetting in a crime; ""he was charged with being accessory to the crime"" ",0.0
72,a,सुलभ,,0.125,0.0,0.875,1,183675,"easily obtained; ""most students now have computers accessible""; ""accessible money"" ",0.0
75,a,accessional,adicional,0.125,0.0,0.875,0,3139363,of or constituting an accession ,0.0
76,a,सहायक,,0.375,0.0,0.625,0,902946,"nonessential but helpful; ""accessorial services included sorting and packing"" ",0.0
77,a,सहायक,,0.375,0.0,0.625,0,2355248,"aiding and abetting in a crime; ""he was charged with being accessory to the crime"" ",0.0
78,a,आकस्मिक,,0.0,0.125,0.875,0,1338909,"happening by chance or unexpectedly or unintentionally ; ""with an inadvertent gesture she swept the vase off the table""; ""accidental poisoning""; ""an accidental shooting"" ",-0.125
79,a,दुर्घटना संभावित,,0.0,0.125,0.875,0,1293049,having more than the average number of accidents ,-0.125
80,a,मिलनसार,atento,0.5,0.0,0.5,0,20787,"helpful in bringing about a harmonious adaptation; ""the warden was always accommodating in allowing visitors in""; ""made a special effort to be accommodating"" ",0.0
82,a,उदार,acomodaticio,0.5,0.0,0.5,0,20787,"helpful in bringing about a harmonious adaptation; ""the warden was always accommodating in allowing visitors in""; ""made a special effort to be accommodating"" ",0.0
84,a,पूरा किया,,0.125,0.0,0.875,1,521329,"successfully completed or brought to an end; ""his mission accomplished he took a vacation""; ""the completed project""; ""the joy of a realized ambition overcame him"" ",0.0
86,a,लयबद्ध,,0.5,0.0,0.5,0,552841,"being in agreement or harmony; often followed by `with'; ""a place perfectly accordant with man's nature""-Thomas Hardy ",0.0
87,a,अनुसार,,0.125,0.0,0.875,1,471572,"(followed by `to') as reported or stated by; ""according to historians"" ",0.0
88,a,एक्रिशनरी,,0.0,0.375,0.625,0,2535335,marked or produced by accretion ,-0.375
90,a,accumbent,,0.0,0.125,0.875,0,1238201,lying down; in a position of comfort or rest ,-0.125
91,a,संचयी,,0.375,0.0,0.625,1,29769,"marked by acquiring or amassing; ""we live in an accumulative society"" ",0.0
92,a,शुद्ध,,0.125,0.0,0.875,1,631798,"(of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth ; strictly correct; ""a precise image""; ""a precise measurement"" ",0.0
94,a,शापित,,0.0,0.25,0.75,0,669853,under a curse ,-0.25
95,a,शापित,,0.0,0.25,0.75,0,669853,under a curse ,-0.25
96,a,कर्म कारक,,0.0,0.5,0.5,0,924257,"containing or expressing accusation; ""an accusitive forefinger""; ""black accusatory looks""; ""accusive shoes and telltale trousers""- O.Henry; ""his accusing glare"" ",-0.5
97,a,दोष लगानेवाला,,0.0,0.5,0.5,0,924257,"containing or expressing accusation; ""an accusitive forefinger""; ""black accusatory looks""; ""accusive shoes and telltale trousers""- O.Henry; ""his accusing glare"" ",-0.5
98,a,आरोप लगा,,0.0,0.5,0.5,0,924257,"containing or expressing accusation; ""an accusitive forefinger""; ""black accusatory looks""; ""accusive shoes and telltale trousers""- O.Henry; ""his accusing glare"" ",-0.5
100,a,आदी,,0.125,0.0,0.875,0,24417,"(often followed by `to') in the habit of or adapted to; ""accustomed to doing her own work""; ""I've grown accustomed to her face"" ",0.0
102,a,इक्का,,0.625,0.0,0.375,0,2341864,"of the highest quality; ""an ace reporter""; ""a crack shot""; ""a first-rate golfer""; ""a super party""; ""played top-notch tennis""; ""an athlete in tiptop condition""; ""she is absolutely tops"" ",0.0
103,a,अकोशिकीय,,0.0,0.5,0.5,0,328128,not made up of or divided into cells ,-0.5
105,a,खट्टा,,0.0,0.625,0.375,1,1802165,"harsh or corrosive in tone; ""an acerbic tone piercing otherwise flowery prose""; ""a barrage of acid comments""; ""her acrid remarks make her many enemies""; ""bitter words""; ""blistering criticism""; ""caustic jokes about political assassination, talk-show hosts and medical ethics""; ""a sulfurous denunciation""; ""a vitriolic critique"" ",-0.625
106,a,एसिड,,0.0,0.625,0.375,1,1802165,"harsh or corrosive in tone; ""an acerbic tone piercing otherwise flowery prose""; ""a barrage of acid comments""; ""her acrid remarks make her many enemies""; ""bitter words""; ""blistering criticism""; ""caustic jokes about political assassination, talk-show hosts and medical ethics""; ""a sulfurous denunciation""; ""a vitriolic critique"" ",-0.625
108,a,खट्टा,,0.0,0.25,0.75,0,2369179,tasting or smelling like vinegar ,-0.25
111,a,प्राप्त,,0.25,0.0,0.75,0,1821690,capable of existing or taking place or proving true; possible to do ,0.0
112,a,दर्द,,0.0,0.75,0.25,0,1711465,"causing a dull and steady pain; ""my aching head""; ""her old achy joints"" ",-0.75
118,a,अम्ल,,0.0,0.375,0.625,2,25470,"having the characteristics of an acid; ""an acid reaction"" ",-0.375
120,a,एसिड बनाने,,0.0,0.5,0.5,0,25633,yielding an acid in aqueous solution ,-0.5
121,a,अम्लीय,,0.0,0.125,0.875,0,25238,being or containing an acid; of a solution having an excess of hydrogen atoms (having a pH of less than 7) ,-0.125
122,a,एसिड प्यार,,0.0,0.25,0.75,0,26706,thriving in a relatively acidic environment (especially of plants requiring a pH well below 7) ,-0.25
123,a,एसिड चखने,,0.0,0.5,0.5,0,2395810,having a sour acidic taste ,-0.5
125,a,स्वीकार किया,reconocido,0.125,0.0,0.875,0,27247,"recognized or made known or admitted; ""the acknowledged leader of the community""; ""a woman of acknowledged accomplishments""; ""his acknowledged error"" ",0.0
128,a,सर्दी,,0.0,0.625,0.375,0,1251830,"of persons; feeling cold; ""Poor Tom's acold""- Shakespeare ",-0.625
129,a,बलूत का फल के आकार,,0.125,0.0,0.875,0,2144834,shaped like an acorn ,0.0
130,a,परिचित,,0.625,0.0,0.375,0,965894,"having fair knowledge of; ""they were acquainted""; ""fully acquainted with the facts"" ",0.0
131,a,संतुष्ट,,0.25,0.0,0.75,0,1612627,"willing to carry out the orders or wishes of another without protest; ""too acquiescent to challenge authority"" ",0.0
132,a,प्राप्य,,0.625,0.0,0.375,0,183832,capable of being acquired ,0.0
133,a,तीखा,,0.25,0.0,0.75,0,2398608,"strong and sharp;""the pungent taste of radishes""; ""the acrid smell of burning rubber"" ",0.0
135,a,क़लाबाज़ी का,,0.375,0.0,0.625,0,32497,"vigorously active; ""an acrobatic dance""; ""an athletic child""; ""athletic playing""; ""gymnastic exercises"" ",0.0
138,a,बोर्ड के पार,,0.375,0.0,0.625,0,526062,"broad in scope or content; ""across-the-board pay increases""; ""an all-embracing definition""; ""blanket sanctions against human-rights violators""; ""an invention with broad applications""; ""a panoptic study of Soviet nationality""- T.G.Winner; ""granted him wide powers"" ",0.0
140,a,अभिनय,,0.125,0.0,0.875,0,1756166,"serving temporarily especially as a substitute; ""the acting president"" ",0.0
142,a,कार्रवाई योग्य,,0.25,0.0,0.75,0,1370864,"affording grounds for legal action; ""slander is an actionable offense"" ",0.0
143,a,सक्रिय,,0.125,0.0,0.875,2,42692,rendered active; e.g. rendered radioactive or luminescent or photosensitive or conductive ,0.0
146,a,सक्रिय,,0.125,0.0,0.875,2,38750,"disposed to take action or effectuate change; ""a director who takes an active interest in corporate operations""; ""an active antagonism""; ""he was active in drawing attention to their grievances"" ",0.0
151,a,वास्तविक,,0.25,0.0,0.75,2,2460964,"being or reflecting the essential or genuine character of something; ""her actual motive""; ""a literal solitude like a desert""- G.K.Chesterton; ""a genuine dilemma"" ",0.0
154,a,नोकीला,,0.25,0.0,0.75,0,2167285,(of a leaf shape) narrowing to a slender point ,0.0
155,a,तीव्र,,0.125,0.0,0.875,2,1744515,"having or demonstrating ability to recognize or draw fine distinctions; ""an acute observer of politics and politicians""; ""incisive comments""; ""icy knifelike reasoning""; ""as sharp and incisive as the stroke of a fang""; ""penetrating insight""; ""frequent penetrative observations"" ",0.0
157,a,अचक्रीय,,0.125,0.0,0.875,0,677877,not cyclic; especially having parts arranged in spirals rather than whorls ,0.0
158,a,अनौपचारिक,,0.125,0.0,0.875,1,1103529,"for or concerned with one specific purpose; ""a coordinated policy instead of ad hoc decisions"" ",0.0
159,a,बगैर सोचे - समझे प्रतिक्रिया व्यक्त करना,,0.625,0.0,0.375,0,1767826,"appealing to personal considerations (rather than to fact or reason); ""ad hominem arguments"" ",0.0
161,a,Adagio,,0.0,0.125,0.875,0,982881,(of tempo) leisurely ,-0.125
162,a,अटल,,0.0,0.75,0.25,0,1024812,"impervious to pleas, persuasion, requests, reason; ""he is adamant in his refusal to change his mind""; ""Cynthia was inexorable; she would have none of him""- W.Churchill; ""an intransigent conservative opposed to every liberal tendency"" ",-0.75
163,a,कड़ा,,0.0,0.75,0.25,2,1024812,"impervious to pleas, persuasion, requests, reason; ""he is adamant in his refusal to change his mind""; ""Cynthia was inexorable; she would have none of him""- W.Churchill; ""an intransigent conservative opposed to every liberal tendency"" ",-0.75
165,a,अनुकूली,,0.25,0.0,0.75,0,46109,"having a capacity for adaptation; ""the adaptive coloring of a chameleon"" ",0.0
168,a,नशे की लत,,0.0,0.625,0.375,0,47786,"causing or characterized by addiction; ""addictive drugs""; ""addictive behavior"" ",-0.625
170,a,सड़ाया हुआ,,0.0,0.75,0.25,0,1069187,"(of eggs) no longer edible; ""an addled egg"" ",-0.75
171,a,पता,,0.625,0.0,0.375,0,183932,"capable of being addressed; ""addressable memory"" ",0.0
172,a,संबोधित,,0.125,0.0,0.875,0,50641,"(of mail) marked with a destination; ""I throw away all mail addressed to `resident'"" ",0.0
173,a,निपुण,,0.625,0.0,0.375,0,2226162,"having or showing knowledge and skill and aptitude; ""adept in handicrafts""; ""an adept juggler""; ""an expert job""; ""a good mechanic""; ""a practiced marksman""; ""a proficient engineer""; ""a lesser-known but no less skillful composer""; ""the effect was achieved by skillful retouching"" ",0.0
174,a,पर्याप्त,,0.125,0.0,0.875,1,2336109,"sufficient for the purpose; ""an adequate income""; ""the food was adequate""; ""a decent wage""; ""enough food""; ""food enough"" ",0.0
175,a,स्थिरोष्म,,0.0,0.625,0.375,0,744141,"occurring without loss or gain of heat; ""adiabatic expansion"" ",-0.625
176,a,समायोज्य,,0.125,0.0,0.875,0,1027686,"capable of being changed so as to match or fit; ""adjustable seat belts"" ",0.0
178,a,समायोजित,,0.25,0.0,0.75,0,350621,"altered to accommodate to certain requirements or bring into a proper relation; ""an adjusted insurance claim""; ""the car runs more smoothly with the timing adjusted"" ",0.0
179,a,बिना तैयारी के,,0.0,0.5,0.5,0,1845451,"with little or no preparation or forethought; ""his ad-lib comments showed poor judgment""; ""an extemporaneous piano recital""; ""an extemporary lecture""; ""an extempore skit""; ""an impromptu speech""; ""offhand excuses""; ""trying to sound offhanded and reassuring""; ""an off-the-cuff toast""; ""a few unrehearsed comments"" ",-0.5
182,a,प्रशासनिक,,0.25,0.0,0.75,0,2904075,of or relating to or responsible for administration ,0.0
183,a,प्रशंसनीय,,0.75,0.0,0.25,0,904290,"deserving of the highest esteem or admiration; ""an estimable young professor""; ""trains ran with admirable precision""; ""his taste was impeccable, his health admirable"" ",0.0
185,a,प्रशंसा की,,0.5,0.0,0.5,0,1462046,regarded with admiration ,0.0
187,a,भर्त्सक,,0.0,0.25,0.75,0,1771124,"serving to warn; ""shook a monitory finger at him""; ""an exemplary jail sentence"" ",-0.25
189,a,ग्रहणीय,,0.75,0.0,0.25,0,55765,"suitable or eligible for adoption; ""a shortage of adoptable babies"" ",0.0
190,a,गोद लिया,,0.5,0.0,0.5,0,1034296,"acquired as your own by free choice; ""my adopted state""; ""an adoptive country"" ",0.0
191,a,गोद लेने योग्य,,0.5,0.0,0.5,1,1034296,"acquired as your own by free choice; ""my adopted state""; ""an adoptive country"" ",0.0
192,a,प्यारी,,0.5,0.0,0.5,0,1459755,lovable especially in a childlike or naive way ,0.0
193,a,बहुत ही पसंदीदा,,0.375,0.0,0.625,0,1462124,"regarded with deep or rapturous love (especially as if for a god); ""adored grandchildren""; ""an idolized wife"" ",0.0
195,a,विभूषित,,0.375,0.0,0.625,0,56002,provided with something intended to increase its beauty or distinction ,0.0
196,a,भटकते हुए,,0.375,0.0,0.625,0,1910652,aimlessly drifting ,0.0
197,a,निपुण,,0.25,0.0,0.75,0,61262,"quick or skillful or adept in action or thought; ""an exceptionally adroit pianist""; ""an adroit technician""; ""his adroit replies to hecklers won him many followers""; ""an adroit negotiator"" ",0.0
200,a,चापलूसी का,,0.25,0.0,0.75,0,907830,"obsequiously complimentary; ""they listened with flattering interest"" ",0.0
201,a,मिलावट करना,,0.0,0.125,0.875,0,1908539,mixed with impurities ,-0.125
202,a,मिलावटी,,0.0,0.125,0.875,0,1908539,mixed with impurities ,-0.125
203,a,adulterine,,0.0,0.375,0.625,0,1407738,conceived in adultery ,-0.375
204,a,पुस्र्षगामी,,0.0,0.75,0.25,1,961195,"not faithful to a spouse or lover; ""adulterous husbands and wives""; ""a two-timing boyfriend"" ",-0.75
205,a,जला हुआ,,0.0,0.25,0.75,0,2551946,"dried out by heat or excessive exposure to sunlight; ""a vast desert all adust""; ""land lying baked in the heat""; ""parched soil""; ""the earth was scorched and bare""; ""sunbaked salt flats"" ",-0.25
206,a,अग्रिम,,0.125,0.0,0.875,0,813915,"being ahead of time or need; ""gave advance warning""; ""was beforehand with her report"" ",0.0
207,a,उन्नत,,0.375,0.0,0.625,6,412171,"(of societies) highly developed especially in technology or industry; ""advanced societies""; ""an advanced country technologically"" ",0.0
211,a,लाभदायक,,0.375,0.0,0.625,1,931833,appropriate for achieving a particular end; implies a lack of concern for fairness ,0.0
215,a,उचित,,0.625,0.0,0.375,0,67038,"worthy of being recommended or suggested; prudent or wise; ""such action is neither necessary nor advisable""; ""extreme caution is advisable""; ""it is advisable to telephone first"" ",0.0
216,a,सलाह दी,,0.5,0.0,0.5,0,67966,"having the benefit of careful prior consideration or counsel; ""a well-advised delay in carrying out the plan"" ",0.0
217,a,सलाहकार,,0.25,0.0,0.75,0,1304802,"giving advice; ""an advisory memorandum"", ""his function was purely consultative"" ",0.0
221,a,गैस से भरा हुआ,,0.0,0.125,0.875,1,2276660,supplied with carbon dioxide ,-0.125
222,a,एरोबिक,,0.5,0.0,0.5,1,69217,"based on or using the principles of aerobics; enhancing respiratory and circulatory efficiency; ""aerobic dance""; ""running is very aerobic"" ",0.0
223,a,सौंदर्य,,0.625,0.0,0.375,1,69531,"concerning or characterized by an appreciation of beauty or good taste; ""the aesthetic faculties""; ""an aesthetic person""; ""aesthetic feeling""; ""the illustrations made the book an aesthetic success"" ",0.0
229,a,afeard,,0.0,0.125,0.875,0,78463,a pronunciation of afraid ,-0.125
231,a,मिलनसार,,0.625,0.0,0.375,0,1075178,"diffusing warmth and friendliness; ""an affable smile""; ""an amiable gathering""; ""cordial relations""; ""a cordial greeting""; ""a genial host"" ",0.0
232,a,लग जाना,,0.375,0.0,0.625,0,70939,acted upon; influenced ,0.0
234,a,स्नेही,,0.625,0.0,0.375,0,1464700,"having or displaying warmth or affection; ""affectionate children""; ""a fond embrace""; ""fond of his nephew""; ""a tender glance""; ""a warm embrace"" ",0.0
235,a,affirmable,,0.625,0.0,0.375,0,1821920,"capable of being affirmed or asserted; ""a quality affirmable of every member of the family"" ",0.0
236,a,सकारात्मक,,0.5,0.0,0.5,2,996089,"expressing or manifesting praise or approval; ""approbative criticism""; ""an affirmative nod"" ",0.0
238,a,affirmatory,,0.5,0.0,0.5,0,75135,"affirming or giving assent; ""an affirmative decision""; ""affirmative votes"" ",0.0
239,a,चिपका,,0.125,0.0,0.875,0,158701,"firmly attached; ""the affixed labels"" ",0.0
241,a,धनी,,0.0,0.25,0.75,0,2022167,"having an abundant supply of money or possessions of value; ""an affluent banker""; ""a speculator flush with cash""; ""not merely rich but loaded""; ""moneyed aristocrats""; ""wealthy corporations"" ",-0.25
242,a,aflicker,,0.25,0.0,0.75,0,2304119,shining unsteadily ,0.0
243,a,बचाए,,0.375,0.0,0.625,0,1910652,aimlessly drifting ,0.0
244,a,डरा हुआ,,0.0,0.5,0.5,0,77645,"filled with fear or apprehension; ""afraid even to turn his head""; ""suddenly looked afraid""; ""afraid for his life""; ""afraid of snakes""; ""afraid to ask questions"" ",-0.5
247,a,अयुग्मक,,0.0,0.625,0.375,0,2136158,(of reproduction) not involving the fusion of male and female gametes in reproduction ,-0.625
249,a,agamous,,0.0,0.625,0.375,0,2136158,(of reproduction) not involving the fusion of male and female gametes in reproduction ,-0.625
250,a,मुंह खोले हुए,,0.0,0.125,0.875,0,1654582,"with the mouth wide open as in wonder or awe; ""the gaping audience""; ""we stood there agape with wonder""; ""with mouth agape"" ",-0.125
251,a,वृद्ध,,0.125,0.0,0.875,4,1071794,(used of tobacco) aging as a preservative process (`aged' is pronounced as one syllable) ,0.0
255,a,वृद्ध न होनेवाला,,0.25,0.0,0.75,0,1755024,"continuing forever or indefinitely; ""the ageless themes of love and revenge""; ""eternal truths""; ""life everlasting""; ""hell's perpetual fires""; ""the unending bliss of heaven"" ",0.0
256,a,सदियों पुरानी,,0.0,0.125,0.875,0,1638962,"belonging to or lasting from times long ago; ""age-old customs""; ""the antique fear that days would dwindle away to complete darkness"" ",-0.125
257,a,ढेरी,,0.25,0.0,0.75,0,467019,"clustered together but not coherent; ""an agglomerated flower head"" ",0.0
260,a,बहुत बिगड़,,0.0,0.5,0.5,1,114266,"incited, especially deliberately, to anger; ""aggravated by passive resistance""; ""the provoked animal attacked the child"" ",-0.5
261,a,उत्तेजक,,0.0,0.25,0.75,0,1340422,making worse ,-0.25
262,a,आक्रामक,,0.5,0.0,0.5,0,82241,"having or showing determination and energetic pursuit of your ends; ""an aggressive businessman""; ""an aggressive basketball player""; ""he was aggressive and imperious; positive in his convictions""; ""aggressive drivers"" ",0.0
263,a,भौचक्का,,0.25,0.0,0.75,0,78576,"struck with fear, dread, or consternation ",0.0
264,a,चुस्त,,0.375,0.0,0.625,1,1334833,"mentally quick; ""an agile mind""; ""nimble wits"" ",0.0
265,a,उत्तेजित,agitado,0.0,0.125,0.875,1,87354,"physically disturbed or set in motion; ""the agitated mixture foamed and bubbled"" ",-0.125
268,a,दमकता हुआ,,0.25,0.0,0.75,0,279332,"softly bright or radiant; ""a house aglow with lights""; ""glowing embers""; ""lambent tongues of flame""; ""the lucent moon""; ""a sky luminous with stars"" ",0.0
269,a,अज्ञेयवाद का,,0.375,0.0,0.625,1,1305929,uncertain of all claims to knowledge ,0.0
271,a,लौटने में,,0.625,0.0,0.375,0,919919,highly excited ,0.0
272,a,अंतकाल,,0.0,0.25,0.75,0,2608090,pertaining to or associated with agony (especially death agonies) ,-0.25
273,a,कष्टदायी,,0.0,0.75,0.25,0,1711614,"expressing pain or agony; ""agonized screams"" ",-0.75
274,a,मल्लयुद्ध-संबंधी,,0.0,0.25,0.75,1,512769,"striving to overcome in argument; ""a dialectical and agonistic approach"" ",-0.25
275,a,agonistical,,0.0,0.25,0.75,0,512769,"striving to overcome in argument; ""a dialectical and agonistic approach"" ",-0.25
276,a,कष्टदायी,,0.0,0.75,0.25,0,1711614,"expressing pain or agony; ""agonized screams"" ",-0.75
277,a,एगोराफोबिक,,0.0,0.75,0.25,0,78705,suffering from agoraphobia; abnormally afraid of open or public places ,-0.75
279,a,सहमत,,0.125,0.0,0.875,2,553279,"prepared to agree or consent; ""agreeable to the plan"" ",0.0
281,a,अनैतिहासिक,,0.0,0.375,0.625,0,2920321,unconcerned with or unrelated to history or to historical development or to tradition ,-0.375
282,a,बीमार,,0.0,0.625,0.375,0,2542325,"somewhat ill or prone to illness; ""my poor ailing grandmother""; ""feeling a bit indisposed today""; ""you look a little peaked""; ""feeling poorly""; ""a sickly child""; ""is unwell and can't come to work"" ",-0.625
283,a,लक्ष्यहीन,,0.375,0.0,0.625,0,1910652,aimlessly drifting ,0.0
285,a,हवा में सुखाया हुआ,,0.0,0.125,0.875,0,2552222,made dry by contact with unheated air ,-0.125
286,a,शुष्क हवा,,0.0,0.625,0.375,0,2552315,not giving off moisture on exposure to the air ,-0.625
287,a,प्रसारित,,0.0,0.125,0.875,0,2508917,"open to or abounding in fresh air; ""airy rooms"" ",-0.125
288,a,हवा से भरे,,0.0,0.25,0.75,0,1084023,full of air ,-0.25
291,a,वायु-रोधक,,0.0,0.75,0.25,1,1398528,not allowing air or gas to pass in or out ,-0.75
292,a,हवा-बंद,,0.0,0.75,0.25,1,1398528,not allowing air or gas to pass in or out ,-0.75
293,a,उड़ने योग्य,en_condiciones_de_vuelo,0.125,0.0,0.875,0,2088198,(of aircraft) fit to fly ,0.0
294,a,हवादार,,0.125,0.0,0.875,2,1186913,"having little or no perceptible weight; so light as to resemble air; ""airy gauze curtains"" ",0.0
296,a,अधखुला,,0.0,0.125,0.875,0,1652601,"slightly open; ""the door was ajar"" ",-0.125
297,a,लगभग ठोस होने तक पकाना,,0.125,0.0,0.875,0,1151335,of pasta cooked so as to be firm when eaten ,0.0
298,a,alacritous,,0.5,0.0,0.5,0,977238,"quick and eager; ""an alacritous response to the invitation"" ",0.0
299,a,डैना-संबंधी,,0.0,0.125,0.875,1,2567117,having or resembling wings ,-0.125
300,a,चिंतित,,0.0,0.625,0.375,0,78851,experiencing a sudden sense of danger ,-0.625
301,a,खतरनाक,,0.0,0.5,0.5,0,193015,frightening because of an awareness of danger ,-0.5
303,a,albinal,,0.0,0.5,0.5,0,2609984,of or pertaining to or affected by albinism ,-0.5
304,a,albinic,,0.0,0.5,0.5,0,2609984,of or pertaining to or affected by albinism ,-0.5
305,a,ऐलबिनिस्टिक,,0.0,0.5,0.5,0,2609984,of or pertaining to or affected by albinism ,-0.5
306,a,albinotic,,0.0,0.5,0.5,0,2609984,of or pertaining to or affected by albinism ,-0.5
307,a,शराब में घुलनशील,,0.0,0.125,0.875,0,2265306,soluble in alcohol ,-0.125
308,a,पाँसे,,0.125,0.0,0.875,0,1842198,"dependent on chance; ""the aleatory element in life"" ",0.0
